code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20
sh.603501,2017-05-04,10.11,10.11,10.11,10.11,14958,151225.0,44.01709,7.02,10.11,,,
sh.603501,2017-05-05,11.12,11.12,11.12,11.12,5172,57513.0,9.990111,10.11,11.12,,,
sh.603501,2017-05-08,12.23,12.23,12.23,12.23,8700,106401.0,9.982012,11.12,12.23,,,
sh.603501,2017-05-09,13.45,13.45,13.45,13.45,9058,121830.0,9.975472,12.23,13.45,,,
sh.603501,2017-05-10,14.8,14.8,14.8,14.8,10600,156880.0,10.03718,13.45,14.8,12.34,,
sh.603501,2017-05-11,16.28,16.28,16.28,16.28,39400,641432.0,10.0,14.8,16.28,13.58,,
sh.603501,2017-05-12,17.91,17.91,17.91,17.91,97150,1739957.0,10.01228,16.28,17.91,14.93,,
sh.603501,2017-05-15,19.7,19.7,19.7,19.7,77309,1522987.0,9.994422,17.91,19.7,16.43,,
sh.603501,2017-05-16,21.67,21.67,21.67,21.67,300153,6504316.0,9.999996,19.7,21.67,18.07,,
sh.603501,2017-05-17,23.84,23.84,23.84,23.84,164176,3913956.0,10.01384,21.67,23.84,19.88,16.11,
sh.603501,2017-05-18,26.22,26.22,26.22,26.22,152672,4003060.0,9.983217,23.84,26.22,21.87,17.72,
sh.603501,2017-05-19,28.84,24.29,24.06,28.84,24309815,631737760.0,-7.360788,26.22,24.29,23.14,19.04,
sh.603501,2017-05-22,22.9,21.86,21.86,23.32,12357647,277131696.0,-10.00412,24.29,21.86,23.58,20.0,
sh.603501,2017-05-23,20.71,22.18,20.63,22.47,13966429,301875264.0,1.46386,21.86,22.18,23.68,20.88,
sh.603501,2017-05-24,21.66,22.49,21.4,22.79,12676910,281045392.0,1.397653,22.18,22.49,23.41,21.64,
sh.603501,2017-05-25,22.3,21.2,20.72,22.36,11688157,249982025.0,-5.735878,22.49,21.2,22.4,22.14,
sh.603501,2017-05-26,21.26,21.92,21.26,22.87,11573052,254669262.0,3.3962230000000004,21.2,21.92,21.93,22.54,
sh.603501,2017-05-31,23.0,22.81,22.68,24.11,19069116,449269760.0,4.0602160000000005,21.92,22.81,22.12,22.85,
sh.603501,2017-06-01,21.73,20.53,20.53,22.15,14272917,301910128.0,-9.995611,22.81,20.53,21.79,22.73,
