code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20
sz.002745,2015-02-17,25.8,30.96,25.8,30.96,66000,2032782.0,44.0,21.5,30.96,,,
sz.002745,2015-02-25,34.06,34.06,34.06,34.06,14400,490464.0,10.0129,30.96,34.06,,,
sz.002745,2015-02-26,37.47,37.47,37.47,37.47,14500,543315.0,10.0117,34.06,37.47,,,
sz.002745,2015-02-27,41.22,41.22,41.22,41.22,54800,2258856.0,10.008,37.47,41.22,,,
sz.002745,2015-03-02,45.34,45.34,45.34,45.34,269100,12200994.0,9.9951,41.22,45.34,37.81,,
sz.002745,2015-03-03,45.34,47.47,40.95,49.48,26072515,1164226768.0,4.6978,45.34,47.47,41.11,,
sz.002745,2015-03-04,44.2,44.24,43.1,45.5,13438186,596948208.0,-6.8043,47.47,44.24,43.15,,
sz.002745,2015-03-05,44.0,42.07,42.06,44.0,10068349,428782848.0,-4.9051,44.24,42.07,44.07,,
sz.002745,2015-03-06,41.98,41.25,41.01,43.2,7292743,304887920.0,-1.9491,42.07,41.25,44.07,,
sz.002745,2015-03-09,40.98,39.55,39.1,40.99,6494962,257106888.0,-4.1212,41.25,39.55,42.92,40.36,
sz.002745,2015-03-10,39.54,40.35,39.42,40.67,4457138,178959627.0,2.0228,39.55,40.35,41.49,41.3,
sz.002745,2015-03-11,40.0,39.31,39.21,40.0,4379880,173018818.0,-2.5774,40.35,39.31,40.51,41.83,
sz.002745,2015-03-12,39.06,38.16,38.01,39.45,5446868,209913169.0,-2.9255,39.31,38.16,39.72,41.9,
sz.002745,2015-03-13,38.5,39.18,38.38,39.46,3772575,147269279.0,2.673,38.16,39.18,39.31,41.69,
sz.002745,2015-03-16,39.55,40.28,39.5,40.36,5114398,205172505.0,2.8076,39.18,40.28,39.46,41.19,
sz.002745,2015-03-17,40.48,40.38,40.06,40.58,4839366,194872463.0,0.2483,40.28,40.38,39.46,40.48,
sz.002745,2015-03-18,40.39,40.65,40.07,40.79,5287241,214100182.0,0.6686,40.38,40.65,39.73,40.12,
sz.002745,2015-03-19,40.68,41.35,40.25,41.69,5761056,236630095.0,1.722,40.65,41.35,40.37,40.05,
sz.002745,2015-03-20,41.36,40.91,40.76,41.5,4466154,182984876.0,-1.0641,41.35,40.91,40.71,40.01,
sz.002745,2015-03-23,40.91,41.14,40.6,41.35,5140428,210430428.0,0.5622,40.91,41.14,40.89,40.17,40.27
