code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20,label1,label2,label3,label4,label5
sh.603421,2016-10-11,16.82,20.19,16.82,20.19,18665,374824.0,44.008559999999996,14.02,20.19,,,,22.21,24.43,26.87,29.56,32.52
sh.603421,2016-10-12,22.21,22.21,22.21,22.21,6700,148807.0,10.00495,20.19,22.21,,,,24.43,26.87,29.56,32.52,35.77
sh.603421,2016-10-13,24.43,24.43,24.43,24.43,5800,141694.0,9.995503,22.21,24.43,,,,26.87,29.56,32.52,35.77,39.35
sh.603421,2016-10-14,26.87,26.87,26.87,26.87,10400,279448.0,9.987722,24.43,26.87,,,,29.56,32.52,35.77,39.35,43.29
sh.603421,2016-10-17,29.56,29.56,29.56,29.56,12802,378427.0,10.01116,26.87,29.56,24.65,,,32.52,35.77,39.35,43.29,41.66
sh.603421,2016-10-18,32.52,32.52,32.52,32.52,22601,734985.0,10.013539999999999,29.56,32.52,27.12,,,35.77,39.35,43.29,41.66,45.83
sh.603421,2016-10-19,35.77,35.77,35.77,35.77,65300,2335781.0,9.99385,32.52,35.77,29.83,,,39.35,43.29,41.66,45.83,44.05
sh.603421,2016-10-20,39.35,39.35,39.35,39.35,67400,2652190.0,10.00838,35.77,39.35,32.81,,,43.29,41.66,45.83,44.05,45.81
sh.603421,2016-10-21,43.29,43.29,43.29,43.29,239926,10386397.0,10.01271,39.35,43.29,36.1,,,41.66,45.83,44.05,45.81,49.71
sh.603421,2016-10-24,43.29,41.66,40.21,43.29,20726165,859462480.0,-3.765306,43.29,41.66,38.52,31.58,,45.83,44.05,45.81,49.71,47.98
sh.603421,2016-10-25,41.15,45.83,40.8,45.83,18424111,809554912.0,10.00961,41.66,45.83,41.18,34.15,,44.05,45.81,49.71,47.98,48.79
sh.603421,2016-10-26,45.3,44.05,43.6,45.62,16528897,735890896.0,-3.883924,45.83,44.05,42.84,36.33,,45.81,49.71,47.98,48.79,50.24
sh.603421,2016-10-27,45.1,45.81,44.69,47.54,15832079,728532416.0,3.9954650000000003,44.05,45.81,44.13,38.47,,49.71,47.98,48.79,50.24,48.96
sh.603421,2016-10-28,45.5,49.71,45.11,50.39,21242097,1041895728.0,8.51342,45.81,49.71,45.41,40.76,,47.98,48.79,50.24,48.96,49.98
sh.603421,2016-10-31,47.97,47.98,46.5,48.47,13321070,631798816.0,-3.4801839999999995,49.71,47.98,46.68,42.6,,48.79,50.24,48.96,49.98,50.91
sh.603421,2016-11-01,47.36,48.79,47.13,50.4,13486216,661882208.0,1.688206,47.98,48.79,47.27,44.22,,50.24,48.96,49.98,50.91,50.48
sh.603421,2016-11-02,47.85,50.24,47.15,52.77,15483153,769235152.0,2.971922,48.79,50.24,48.51,45.67,,48.96,49.98,50.91,50.48,51.41
sh.603421,2016-11-03,49.69,48.96,48.68,52.44,14642025,741576784.0,-2.547776,50.24,48.96,49.14,46.63,,49.98,50.91,50.48,51.41,56.55
sh.603421,2016-11-04,48.13,49.98,48.11,50.12,10135342,498102640.0,2.083334,48.96,49.98,49.19,47.3,,50.91,50.48,51.41,56.55,59.94
sh.603421,2016-11-07,50.36,50.91,49.2,51.87,9700491,491794416.0,1.860745,49.98,50.91,49.78,48.23,39.91,50.48,51.41,56.55,59.94,57.76
sh.603421,2016-11-08,50.85,50.48,49.8,51.14,7186491,362758864.0,-0.844628,50.91,50.48,50.11,48.69,41.42,51.41,56.55,59.94,57.76,56.14
sh.603421,2016-11-09,50.28,51.41,49.07,52.55,12791177,653154640.0,1.842314,50.48,51.41,50.35,49.43,42.88,56.55,59.94,57.76,56.14,52.38
sh.603421,2016-11-10,51.8,56.55,51.46,56.55,12306126,673257504.0,9.998055,51.41,56.55,51.87,50.5,44.49,59.94,57.76,56.14,52.38,53.09
sh.603421,2016-11-11,58.3,59.94,57.7,62.21,20918861,1267219216.0,5.994694,56.55,59.94,53.86,51.52,46.14,57.76,56.14,52.38,53.09,53.25
sh.603421,2016-11-14,58.09,57.76,55.55,59.5,11794069,680780896.0,-3.636971,59.94,57.76,55.23,52.5,47.55,56.14,52.38,53.09,53.25,53.84
sh.603421,2016-11-15,57.4,56.14,56.0,58.5,7177143,407481552.0,-2.804707,57.76,56.14,56.36,53.24,48.73,52.38,53.09,53.25,53.84,54.52
sh.603421,2016-11-16,56.25,52.38,52.0,56.4,10189510,547544144.0,-6.697539,56.14,52.38,56.55,53.45,49.56,53.09,53.25,53.84,54.52,52.43
sh.603421,2016-11-17,51.93,53.09,51.93,53.9,6061393,322087792.0,1.355477,52.38,53.09,55.86,53.86,50.25,53.25,53.84,54.52,52.43,50.62
sh.603421,2016-11-18,53.0,53.25,52.9,54.97,5636504,303489968.0,0.301375,53.09,53.25,54.52,54.19,50.75,53.84,54.52,52.43,50.62,51.03
sh.603421,2016-11-21,53.26,53.84,51.34,53.99,6775622,355950448.0,1.107982,53.25,53.84,53.74,54.48,51.36,54.52,52.43,50.62,51.03,49.6
sh.603421,2016-11-22,53.86,54.52,53.5,55.15,7113870,386362720.0,1.263002,53.84,54.52,53.42,54.89,51.79,52.43,50.62,51.03,49.6,47.45
sh.603421,2016-11-23,54.5,52.43,52.1,55.08,5554249,297195728.0,-3.833456,54.52,52.43,53.43,54.99,52.21,50.62,51.03,49.6,47.45,47.2
sh.603421,2016-11-24,52.05,50.62,50.05,52.8,5487023,281509792.0,-3.452225,52.43,50.62,52.93,54.4,52.45,51.03,49.6,47.45,47.2,48.79
