code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20,label1,label2,label3,label4,label5
sz.002156,2014-01-02,5.73,5.96,5.73,6.02,15408397,91425351.0,3.6522,5.75,5.96,,,,5.93,5.92,6.22,6.2,5.8
sz.002156,2014-01-03,5.93,5.93,5.83,6.08,13018328,77317490.0,-0.5034,5.96,5.93,,,,5.92,6.22,6.2,5.8,5.67
sz.002156,2014-01-06,5.91,5.92,5.84,6.2,21262205,127726087.0,-0.1686,5.93,5.92,,,,6.22,6.2,5.8,5.67,5.81
sz.002156,2014-01-07,5.9,6.22,5.75,6.35,24038882,147495619.0,5.0676,5.92,6.22,,,,6.2,5.8,5.67,5.81,6.06
sz.002156,2014-01-08,6.16,6.2,6.09,6.24,15372422,94716225.0,-0.3215,6.22,6.2,6.05,,,5.8,5.67,5.81,6.06,6.06
sz.002156,2014-01-09,6.16,5.8,5.79,6.17,16728433,100516684.0,-6.4516,6.2,5.8,6.01,,,5.67,5.81,6.06,6.06,6.08
sz.002156,2014-01-10,5.82,5.67,5.56,5.92,9522785,55010805.0,-2.2414,5.8,5.67,5.96,,,5.81,6.06,6.06,6.08,6.25
sz.002156,2014-01-13,5.65,5.81,5.58,5.83,7735161,44278588.0,2.4691,5.67,5.81,5.94,,,6.06,6.06,6.08,6.25,6.3
sz.002156,2014-01-14,5.78,6.06,5.76,6.07,12134858,72030962.0,4.3029,5.81,6.06,5.91,,,6.06,6.08,6.25,6.3,6.31
sz.002156,2014-01-15,6.04,6.06,5.95,6.15,11309591,68516440.0,0.0,6.06,6.06,5.88,5.96,,6.08,6.25,6.3,6.31,6.36
sz.002156,2014-01-16,6.09,6.08,6.01,6.22,12007831,73326265.0,0.33,6.06,6.08,5.94,5.98,,6.25,6.3,6.31,6.36,6.54
sz.002156,2014-01-17,6.08,6.25,6.01,6.39,20188299,126314748.0,2.7961,6.08,6.25,6.05,6.01,,6.3,6.31,6.36,6.54,6.62
sz.002156,2014-01-20,6.29,6.3,6.12,6.39,14830050,92514908.0,0.8,6.25,6.3,6.15,6.04,,6.31,6.36,6.54,6.62,6.59
sz.002156,2014-01-21,6.25,6.31,6.12,6.32,12353806,77143770.0,0.1587,6.3,6.31,6.2,6.05,,6.36,6.54,6.62,6.59,6.47
sz.002156,2014-01-22,6.29,6.36,6.21,6.36,15244704,95879171.0,0.7924,6.31,6.36,6.26,6.07,,6.54,6.62,6.59,6.47,6.63
sz.002156,2014-01-23,6.4,6.54,6.4,6.8,24158081,158947402.0,2.8302,6.36,6.54,6.35,6.14,,6.62,6.59,6.47,6.63,6.43
sz.002156,2014-01-24,6.48,6.62,6.45,6.7,17642786,116391043.0,1.2232,6.54,6.62,6.43,6.24,,6.59,6.47,6.63,6.43,6.65
sz.002156,2014-01-27,6.63,6.59,6.55,6.88,18591604,124757517.0,-0.4532,6.62,6.59,6.48,6.32,,6.47,6.63,6.43,6.65,6.9
sz.002156,2014-01-28,6.54,6.47,6.32,6.62,14480759,93272602.0,-1.8209,6.59,6.47,6.52,6.36,,6.63,6.43,6.65,6.9,7.03
sz.002156,2014-01-29,6.49,6.63,6.45,6.7,11566149,75999089.0,2.4730000000000003,6.47,6.63,6.57,6.41,6.19,6.43,6.65,6.9,7.03,7.73
sz.002156,2014-01-30,6.59,6.43,6.43,6.66,7217657,47237914.0,-3.0166,6.63,6.43,6.55,6.45,6.21,6.65,6.9,7.03,7.73,7.93
sz.002156,2014-02-07,6.33,6.65,6.26,6.65,10911903,70918821.0,3.4215,6.43,6.65,6.55,6.49,6.25,6.9,7.03,7.73,7.93,7.92
sz.002156,2014-02-10,6.74,6.9,6.7,7.04,19664937,134857574.0,3.7594,6.65,6.9,6.62,6.55,6.3,7.03,7.73,7.93,7.92,8.7
sz.002156,2014-02-11,6.89,7.03,6.7,7.08,25634385,176602901.0,1.8841,6.9,7.03,6.73,6.62,6.34,7.73,7.93,7.92,8.7,8.68
sz.002156,2014-02-12,7.63,7.73,7.63,7.73,13677738,105603579.0,9.9573,7.03,7.73,6.95,6.76,6.41,7.93,7.92,8.7,8.68,8.66
sz.002156,2014-02-13,8.5,7.93,7.77,8.5,67939319,551721376.0,2.5873,7.73,7.93,7.25,6.9,6.52,7.92,8.7,8.68,8.66,8.16
sz.002156,2014-02-14,7.8,7.92,7.73,8.11,33081909,261000688.0,-0.1261,7.93,7.92,7.5,7.03,6.63,8.7,8.68,8.66,8.16,8.14
sz.002156,2014-02-17,7.85,8.7,7.7,8.71,48910866,401889472.0,9.8485,7.92,8.7,7.86,7.24,6.78,8.68,8.66,8.16,8.14,8.55
sz.002156,2014-02-18,8.72,8.68,8.51,9.25,59455370,523295024.0,-0.2299,8.7,8.68,8.19,7.46,6.91,8.66,8.16,8.14,8.55,7.7
sz.002156,2014-02-19,8.5,8.66,8.45,8.72,27231786,233306110.0,-0.2304,8.68,8.66,8.38,7.66,7.04,8.16,8.14,8.55,7.7,7.54
sz.002156,2014-02-20,8.66,8.16,8.07,8.79,24862857,209699178.0,-5.7737,8.66,8.16,8.42,7.84,7.14,8.14,8.55,7.7,7.54,7.31
sz.002156,2014-02-21,8.1,8.14,7.96,8.39,19206745,157156037.0,-0.2451,8.16,8.14,8.47,7.98,7.24,8.55,7.7,7.54,7.31,7.46
sz.002156,2014-02-24,8.11,8.55,8.08,8.6,19638641,164312953.0,5.0369,8.14,8.55,8.44,8.15,7.35,7.7,7.54,7.31,7.46,7.56
sz.002156,2014-02-25,8.6,7.7,7.7,8.68,29280005,237762986.0,-9.9415,8.55,7.7,8.24,8.22,7.42,7.54,7.31,7.46,7.56,7.45
sz.002156,2014-02-26,7.6,7.54,7.19,7.6,21718490,160501314.0,-2.0779,7.7,7.54,8.02,8.2,7.48,7.31,7.46,7.56,7.45,7.44
sz.002156,2014-02-27,7.49,7.31,7.28,7.84,18404646,139059004.0,-3.0504,7.54,7.31,7.85,8.14,7.52,7.46,7.56,7.45,7.44,7.93
