date,open,high,low,close,volume,amount,ma5,ma10,ma20,label1,label2,label3,label4,label5
2008-06-11,18.01,18.8,17.82,18.52,1508294,27613130.0,,,,18.14,17.3,18.95,17.88,18.98
2008-06-12,18.48,18.48,17.3,18.14,1397701,25110610.0,,,,17.3,18.95,17.88,18.98,17.08
2008-06-13,17.95,18.26,17.3,17.3,961897,16952972.0,,,,18.95,17.88,18.98,17.08,16.69
2008-06-16,17.36,19.03,17.36,18.95,3342142,62043864.0,,,,17.88,18.98,17.08,16.69,16.0
2008-06-17,18.34,18.8,17.46,17.88,1873009,34059468.0,18.16,,,18.98,17.08,16.69,16.0,16.25
2008-06-18,17.78,19.03,16.8,18.98,2223823,40155448.0,18.25,,,17.08,16.69,16.0,16.25,16.9
2008-06-19,18.5,19.18,17.08,17.08,1977085,36001476.0,18.04,,,16.69,16.0,16.25,16.9,16.95
2008-06-20,17.21,17.88,15.62,16.69,1707113,28686504.0,17.92,,,16.0,16.25,16.9,16.95,15.75
2008-06-23,16.69,16.94,15.91,16.0,839866,13696583.0,17.33,,,16.25,16.9,16.95,15.75,16.02
2008-06-24,15.71,16.58,15.65,16.25,669935,10847757.0,17.0,17.58,,16.9,16.95,15.75,16.02,15.94
2008-06-25,16.06,17.2,16.06,16.9,811392,13571689.0,16.58,17.42,,16.95,15.75,16.02,15.94,16.04
2008-06-26,16.85,17.4,16.66,16.95,873500,14879112.0,16.56,17.3,,15.75,16.02,15.94,16.04,16.46
2008-06-27,16.24,16.44,15.5,15.75,943419,15062841.0,16.37,17.14,,16.02,15.94,16.04,16.46,17.1
2008-06-30,15.67,16.08,15.4,16.02,601399,9512310.0,16.37,16.85,,15.94,16.04,16.46,17.1,17.2
2008-07-01,16.02,16.19,15.66,15.94,429943,6876473.0,16.31,16.66,,16.04,16.46,17.1,17.2,17.48
2008-07-02,15.99,16.3,15.84,16.04,325607,5244682.5,16.14,16.36,,16.46,17.1,17.2,17.48,17.09
2008-07-03,15.91,16.79,15.7,16.46,874105,14347669.0,16.04,16.3,,17.1,17.2,17.48,17.09,16.62
2008-07-07,16.46,17.25,16.46,17.1,918730,15625312.0,16.31,16.34,,17.2,17.48,17.09,16.62,17.5
2008-07-08,17.18,17.5,16.74,17.2,944156,16209134.0,16.55,16.46,,17.48,17.09,16.62,17.5,18.39
2008-07-09,17.28,17.66,17.2,17.48,1162720,20243634.0,16.86,16.58,17.08,17.09,16.62,17.5,18.39,18.83
2008-07-10,17.12,17.48,17.09,17.09,781444,13503505.0,17.07,16.6,17.01,16.62,17.5,18.39,18.83,18.1
2008-07-11,16.99,17.06,16.4,16.62,626529,10453373.0,17.1,16.57,16.93,17.5,18.39,18.83,18.1,18.05
2008-07-14,16.62,17.56,16.56,17.5,680160,11653572.0,17.18,16.74,16.94,18.39,18.83,18.1,18.05,18.5
2008-07-15,17.95,18.97,17.83,18.39,2599859,47960696.0,17.42,16.98,16.92,18.83,18.1,18.05,18.5,18.41
2008-07-16,18.09,18.96,17.5,18.83,2338558,43408692.0,17.69,17.27,16.96,18.1,18.05,18.5,18.41,18.07
2008-07-17,19.0,19.35,18.01,18.1,1596412,29707592.0,17.89,17.48,16.92,18.05,18.5,18.41,18.07,18.46
2008-07-18,18.17,18.36,17.13,18.05,1425077,25344652.0,18.17,17.64,16.97,18.5,18.41,18.07,18.46,19.11
2008-07-21,17.88,18.69,17.65,18.5,913128,16768966.0,18.37,17.78,17.06,18.41,18.07,18.46,19.11,18.83
2008-07-22,18.49,18.62,18.18,18.41,687630,12614170.0,18.38,17.9,17.18,18.07,18.46,19.11,18.83,18.97
2008-07-23,18.45,18.69,18.05,18.07,614812,11297128.0,18.23,17.96,17.27,18.46,19.11,18.83,18.97,19.73
2008-07-24,18.34,18.68,18.1,18.46,643723,11861283.0,18.3,18.09,17.35,19.11,18.83,18.97,19.73,18.76
2008-07-25,18.35,19.34,18.17,19.11,1383182,26299784.0,18.51,18.34,17.46,18.83,18.97,19.73,18.76,18.93
2008-07-28,19.13,19.26,18.71,18.83,812651,15419486.0,18.58,18.48,17.61,18.97,19.73,18.76,18.93,18.68
