index_code,date,open,close,low,high,amount,money,change,label
sh000028,2014-01-02,1866.7380,1861.1380,1852.6740,1866.7380,1229630500,13845530000.0000,-0.646049,1796.5020
sh000028,2014-01-03,1851.8380,1833.6160,1824.6290,1854.7870,1314601500,13522290000.0000,-1.478771,1798.7580
sh000028,2014-01-06,1832.3560,1796.5020,1787.3710,1832.3560,1715935200,15769700000.0000,-2.024089,1807.2600
sh000028,2014-01-07,1782.7090,1798.7580,1778.6890,1804.5880,1168852300,11238520000.0000,0.125583,1800.1460
sh000028,2014-01-08,1800.6640,1807.2600,1794.2440,1819.5170,1285510000,12988370000.0000,0.472657,1802.2890
sh000028,2014-01-09,1805.3520,1800.1460,1797.1540,1825.6800,1300258200,14331610000.0000,-0.393635,1799.7390
sh000028,2014-01-10,1796.3330,1802.2890,1791.9400,1808.9100,1452191200,13921970000.0000,0.119043,1806.0030
sh000028,2014-01-13,1803.8400,1799.7390,1792.2180,1814.5820,1173756800,11752970000.0000,-0.141483,1797.9270
sh000028,2014-01-14,1798.9170,1806.0030,1785.1650,1812.5580,1280806000,12483610000.0000,0.348053,1791.0090
sh000028,2014-01-15,1803.7920,1797.9270,1789.6130,1810.7780,1181901300,12310250000.0000,-0.447178,1763.7510
sh000028,2014-01-16,1798.2770,1791.0090,1787.1550,1802.6910,1271984100,12877700000.0000,-0.384775,1751.1210
sh000028,2014-01-17,1785.6770,1763.7510,1760.4790,1786.3390,1227204800,11866790000.0000,-1.521939,1765.2540
sh000028,2014-01-20,1761.4610,1751.1210,1744.1380,1768.6370,1020979700,10267790000.0000,-0.716088,1813.7080
sh000028,2014-01-21,1754.7900,1765.2540,1754.7900,1775.8340,908195600,9184820000.0000,0.807086,1802.5020
sh000028,2014-01-22,1767.8740,1813.7080,1765.3610,1814.8070,1869190800,17582590000.0000,2.744873,1809.0810
sh000028,2014-01-23,1813.7550,1802.5020,1800.1920,1819.3160,1431591800,14714310000.0000,-0.617853,1794.5690
sh000028,2014-01-24,1796.8210,1809.0810,1792.1340,1822.3110,1513022900,14573760000.0000,0.364998,1804.4530
sh000028,2014-01-27,1799.2460,1794.5690,1788.4720,1807.3120,1433140400,14690030000.0000,-0.802180,1816.3210
sh000028,2014-01-28,1798.3230,1804.4530,1790.6640,1810.5880,1157742500,11475760000.0000,0.550775,1793.3920
sh000028,2014-01-29,1811.6620,1816.3210,1807.0620,1819.7110,1233906800,12813780000.0000,0.657709,1799.8350
sh000028,2014-01-30,1811.1940,1793.3920,1792.2170,1811.4030,932794200,10152510000.0000,-1.262391,1835.8940
sh000028,2014-02-07,1782.6760,1799.8350,1775.1660,1800.4020,1020074300,10518180000.0000,0.359263,1860.6230
sh000028,2014-02-10,1807.0830,1835.8940,1806.3570,1839.0710,1822363000,18966410000.0000,2.003466,1861.5100
sh000028,2014-02-11,1837.3620,1860.6230,1834.0670,1872.6140,2766330000,25329100000.0000,1.346973,1865.1120
sh000028,2014-02-12,1860.6100,1861.5100,1853.2150,1872.5440,2236286600,20056040000.0000,0.047670,1869.9650
sh000028,2014-02-13,1857.0890,1865.1120,1850.4750,1890.7180,3114993700,25717340000.0000,0.193502,1873.9510
sh000028,2014-02-14,1863.0600,1869.9650,1856.6030,1872.1120,1694442900,15591880000.0000,0.260194,1846.3220
sh000028,2014-02-17,1878.7540,1873.9510,1860.5920,1885.6840,2083187600,21295680000.0000,0.213164,1878.6680
sh000028,2014-02-18,1870.9410,1846.3220,1841.6760,1870.9410,2053702400,19705710000.0000,-1.474373,1858.0720
sh000028,2014-02-19,1845.2450,1878.6680,1842.6420,1886.1420,2686877900,23007740000.0000,1.751913,1841.0220
sh000028,2014-02-20,1882.1440,1858.0720,1855.2540,1901.2260,2744129200,23732980000.0000,-1.096306,1789.7290
sh000028,2014-02-21,1857.0930,1841.0220,1830.0570,1864.3270,1760768000,16099120000.0000,-0.917620,1752.0900
sh000028,2014-02-24,1825.2860,1789.7290,1777.9560,1825.2860,2263588800,20513940000.0000,-2.786114,1760.2890
sh000028,2014-02-25,1792.0710,1752.0900,1745.0910,1801.2500,2118670000,20893080000.0000,-2.103058,1765.6210
sh000028,2014-02-26,1742.6950,1760.2890,1738.4800,1763.3900,1760025100,17012180000.0000,0.467954,1775.2610
sh000028,2014-02-27,1764.1880,1765.6210,1752.6260,1777.1020,2437158900,21840970000.0000,0.302907,1779.4280
sh000028,2014-02-28,1757.9940,1775.2610,1744.9610,1778.4270,1823937500,17067590000.0000,0.545984,1778.6500
sh000028,2014-03-03,1771.7050,1779.4280,1765.3750,1781.0700,1938903000,17746410000.0000,0.234726,1760.4070
sh000028,2014-03-04,1773.6460,1778.6500,1756.4810,1785.4380,1839569500,17532830000.0000,-0.043719,1769.5320
sh000028,2014-03-05,1781.0910,1760.4070,1755.6600,1782.7320,1515705900,14531350000.0000,-1.025668,1771.0900
sh000028,2014-03-06,1756.9720,1769.5320,1741.7890,1776.6050,1960860300,17276930000.0000,0.518346,1718.5910
sh000028,2014-03-07,1767.6440,1771.0900,1763.8920,1784.5040,1680254200,15707590000.0000,0.088045,1730.1810
sh000028,2014-03-10,1756.9890,1718.5910,1715.8550,1756.9890,1919446700,17935190000.0000,-2.964221,1744.0230
sh000028,2014-03-11,1715.1100,1730.1810,1714.8060,1738.8750,1522062700,14224710000.0000,0.674395,1771.2580
sh000028,2014-03-12,1726.6540,1744.0230,1721.7350,1757.3380,2035758000,17187740000.0000,0.800027,1758.9310
sh000028,2014-03-13,1752.6620,1771.2580,1749.9690,1787.4460,2498101600,19307610000.0000,1.561625,1767.9750
sh000028,2014-03-14,1762.0660,1758.9310,1744.5510,1773.9530,1875926700,15581160000.0000,-0.695948,1761.3420
sh000028,2014-03-17,1769.3280,1767.9750,1753.1020,1773.0720,1487999800,12774440000.0000,0.514173,1747.5030
sh000028,2014-03-18,1771.5420,1761.3420,1757.8940,1774.4380,1690592300,16479890000.0000,-0.375171,1723.1840
sh000028,2014-03-19,1755.3850,1747.5030,1731.6840,1755.3850,1540400700,15588330000.0000,-0.785707,1795.1290
sh000028,2014-03-20,1742.5350,1723.1840,1721.9740,1761.5790,1774406100,16720730000.0000,-1.391648,1803.5250
sh000028,2014-03-21,1717.9820,1795.1290,1717.0160,1799.1430,3607295900,28262820000.0000,4.175124,1797.4260
sh000028,2014-03-24,1800.0520,1803.5250,1786.6310,1814.0340,3429944200,27291120000.0000,0.467710,1793.6780
sh000028,2014-03-25,1798.1600,1797.4260,1788.2480,1812.4760,2518517500,20707380000.0000,-0.338171,1791.6030
sh000028,2014-03-26,1800.8120,1793.6780,1788.8020,1805.6750,1573861700,14647220000.0000,-0.208523,1793.7670
sh000028,2014-03-27,1791.0630,1791.6030,1776.2790,1819.2120,2363697200,20261190000.0000,-0.115681,1791.6900
sh000028,2014-03-28,1791.9610,1793.7670,1787.4480,1811.9760,2320839500,20569750000.0000,0.120782,1801.0380
sh000028,2014-03-31,1793.8020,1791.6900,1779.0800,1803.9450,1813206500,15160580000.0000,-0.115791,1821.7160
sh000028,2014-04-01,1787.7110,1801.0380,1783.4950,1808.3810,1442268400,13141520000.0000,0.521743,1801.5390
sh000028,2014-04-02,1802.6260,1821.7160,1800.6780,1825.3020,2038612500,18229870000.0000,1.148115,1817.7190
sh000028,2014-04-03,1827.7690,1801.5390,1798.1110,1830.6440,1939716100,16022390000.0000,-1.107582,1878.1750
sh000028,2014-04-04,1795.7730,1817.7190,1791.7610,1818.6410,1263104500,11933250000.0000,0.898124,1874.6420
sh000028,2014-04-08,1816.5020,1878.1750,1815.4840,1887.5600,3447319800,30548450000.0000,3.325929,1894.9770
sh000028,2014-04-09,1877.4410,1874.6420,1867.3040,1882.8760,1940932500,18287240000.0000,-0.188112,1900.6280
sh000028,2014-04-10,1876.5150,1894.9770,1864.3560,1910.6840,2826419700,26614460000.0000,1.084745,1895.1840
sh000028,2014-04-11,1891.0160,1900.6280,1888.5390,1909.9560,2397100100,24225480000.0000,0.298210,1855.4790
sh000028,2014-04-14,1898.2670,1895.1840,1884.3500,1905.7760,1573283300,16238230000.0000,-0.286436,1857.7620
sh000028,2014-04-15,1887.4450,1855.4790,1852.7770,1888.0550,1808376200,17553690000.0000,-2.095045,1851.7600
sh000028,2014-04-16,1850.3080,1857.7620,1846.4360,1867.9000,1319315000,12934220000.0000,0.123039,1850.0940
sh000028,2014-04-17,1864.6050,1851.7600,1847.2630,1867.2150,1230864600,12390720000.0000,-0.323074,1817.4550
sh000028,2014-04-18,1843.4320,1850.0940,1830.3790,1852.6520,1362041600,13182180000.0000,-0.089969,1831.7950
sh000028,2014-04-21,1836.9300,1817.4550,1816.5750,1853.1750,1363968600,13144680000.0000,-1.764183,1832.4720
sh000028,2014-04-22,1814.2380,1831.7950,1805.2230,1833.5130,1546954500,15395250000.0000,0.789020,1834.2870
sh000028,2014-04-23,1825.5650,1832.4720,1823.0440,1841.6710,1468024300,13976430000.0000,0.036958,1820.3400
sh000028,2014-04-24,1831.9180,1834.2870,1829.4110,1852.1490,1287116500,12199310000.0000,0.099043,1801.4060
sh000028,2014-04-25,1841.1110,1820.3400,1819.4530,1847.0140,1938857600,18646000000.0000,-0.760351,1814.5290
sh000028,2014-04-28,1819.2080,1801.4060,1799.1050,1824.1980,1585288900,13942130000.0000,-1.040133,1815.2640
sh000028,2014-04-29,1799.5500,1814.5290,1795.0100,1816.2930,1436442700,12369470000.0000,0.728489,1802.9180
sh000028,2014-04-30,1819.3570,1815.2640,1810.2750,1821.6960,1362775400,13774710000.0000,0.040506,1798.1390
sh000028,2014-05-05,1808.6730,1802.9180,1784.8290,1810.4210,1429996300,12707940000.0000,-0.680125,1781.1850
sh000028,2014-05-06,1798.9190,1798.1390,1793.3000,1813.4130,1106886000,10173730000.0000,-0.265066,1782.7820
sh000028,2014-05-07,1795.0260,1781.1850,1780.5560,1795.2950,1086677700,9811620000.0000,-0.942863,1777.8740
sh000028,2014-05-08,1779.4990,1782.7820,1775.0500,1805.6130,1191590300,10393420000.0000,0.089655,1803.3430
sh000028,2014-05-09,1785.0330,1777.8740,1772.9230,1786.7450,1123297100,9583240000.0000,-0.275298,1803.0980
sh000028,2014-05-12,1788.1850,1803.3430,1777.1990,1807.7390,1774937200,15570630000.0000,1.432553,1796.8270
sh000028,2014-05-13,1802.9150,1803.0980,1797.5320,1806.8060,1320100200,11423510000.0000,-0.013586,1783.0220
